code	cell_type
OPC	"oligodendrocyte precursor cell"
OLG	"oligodendrocyte"
OEG	"olfactory ensheathing glia"
NSC	"neural stem cell"
ARP	"astrocyte-restricted precursor"
ASC	"astrocyte"
NRP	"neuronal-restricted precursor"
ImmN	"immature neuron"
mNEUR	"mature neuron"
NendC	"neuroendocrine cell"
EPC	"ependymocyte"
HypEPC	"hypependymal cell"
TNC	"tanycyte"
CPC	"choroid plexus epithelial cell"
EC	"endothelial cell"
PC	"pericyte"
VSMC	"vascular smooth muscle cell"
Hb_VC	"hemoglobin-expressing vascular cell"
VLMC	"vascular and leptomeningeal cells"
ABC	"arachnoid barrier cell"
MG	"microglia"
MNC	"monocyte"
MAC	"macrophage"
DC	"dendritic cell"
NEUT	"neutrophil"
